己丑庚午戊辰戊午|土土金火土土土火
壬戌戊申壬午庚子|水土土金水火金水
甲寅甲戌己卯戊辰|木木木土土木土土
戊辰甲寅乙巳乙酉|土土木木木火木金
丙午辛丑庚辰丁亥|火火金土金土火水
庚寅己卯辛未戊戌|金木土木金土土土
戊寅甲寅丙戌戊戌|土木木木火土土土
丁亥乙巳丁酉癸卯|火水木火火金水木
庚申己丑己巳庚午|金金土土土火金火
己丑丁卯丁未庚子|土土火木火土金水
丁未庚戌丙辰乙未|火土金土火土木土
庚戌庚辰己未乙亥|金土金土土土木水
丁亥己酉丙辰戊戌|火水土金火土土土
甲戌庚午庚辰己卯|木土金火金土土木
丙子庚寅庚辰庚辰|火水金木金土金土
壬寅丙午壬戌己酉|水木火火水土土金
癸酉辛酉丙戌癸巳|水金金金火土水火
乙丑己卯壬戌戊申|木土土木水土土金
辛巳甲午己丑甲子|金火木火土土木水
庚申己丑丙辰丁酉|金金土土火土火金
乙酉戊寅癸酉壬子|木金土木水金水水
甲寅丁卯辛酉癸巳|木木火木金金水火
辛卯癸巳戊寅丁巳|金木水火土木火火
戊午癸亥甲寅乙亥|土火水水木木木水
庚子丙戌己巳甲子|金水火土土火木水
辛亥己亥壬申庚子|金水土水水金金水
己卯辛未壬戌庚戌|土木金土水土金土
甲辰辛未甲子丁卯|木土金土木水火木
辛酉己亥己丑乙丑|金金土水土土木土
庚午戊子辛未癸巳|金火土水金土水火
庚寅己丑辛酉戊子|金木土土金金土水
甲子丁丑丁卯戊申|木水火土火木土金
庚申壬午壬申己酉|金金水火水金土金
壬辰庚戌己丑甲戌|水土金土土土木土
庚寅癸未庚午戊寅|金木水土金火土木
壬申己酉乙巳癸未|水金土金木火水土
丙辰庚寅丙子庚寅|火土金木火水金木
乙未壬午己巳戊辰|木土水火土火土土
庚申丙戌己卯壬申|金金火土土木水金
甲辰辛未辛未癸巳|木土金土金土水火
癸丑乙卯壬申甲辰|水土木木水金木土
癸亥甲子戊午乙卯|水水木水土火木木
癸未己未辛卯甲午|水土土土金木木火
庚申己丑丁酉庚戌|金金土土火金金土
癸亥丙辰壬申乙巳|水水火土水金木火
癸丑癸亥丙寅甲午|水土水水火木木火
辛亥丙申甲申壬申|金水火金木金水金
癸巳癸亥庚寅乙酉|水火水水金木木金
己巳癸酉丙寅辛卯|土火水金火木金木
辛卯庚寅辛卯甲午|金木金木金木木火
壬寅庚戌壬辰乙巳|水木金土水土木火
辛巳壬辰丁卯己酉|金火水土火木土金
壬子乙巳丙子乙未|水水木火火水木土
丙戌壬辰乙卯丙戌|火土水土木木火土
乙未甲申己卯己巳|木土木金土木土火
戊子甲子丙寅丙申|土水木水火木火金
癸未丁巳戊寅壬戌|水土火火土木水土
己未戊辰己卯戊辰|土土土土土木土土
己巳丙寅壬辰庚子|土火火木水土金水
戊午丙辰丙子己丑|土火火土火水土土
乙巳戊寅壬寅甲辰|木火土木水木木土
戊申辛酉乙丑壬午|土金金金木土水火
丁卯丁未乙巳乙酉|火木火土木火木金
戊申己未乙酉乙酉|土金土土木金木金
丁卯壬寅戊申己未|火木水木土金土土
甲戌己巳丙辰戊戌|木土土火火土土土
辛卯辛卯丙子乙未|金木金木火水木土
丙午庚寅庚戌丙子|火火金木金土火水
戊午乙卯癸亥甲寅|土火木木水水木木
庚子乙酉丙寅丙申|金水木金火木火金
己丑壬申丁亥庚子|土土水金火水金水
乙巳乙酉癸亥乙卯|木火木金水水木木
壬子壬子丙辰癸巳|水水水水火土水火
壬申乙巳丁卯甲辰|水金木火火木木土
丁酉癸丑癸巳丙辰|火金水土水火火土
壬午辛亥丙午丁酉|水火金水火火火金
戊寅辛酉壬子己酉|土木金金水水土金
甲寅甲戌庚子甲申|木木木土金水木金
癸未癸亥乙巳壬午|水土水水木火水火
戊辰庚申乙丑甲申|土土金金木土木金
癸丑戊午癸卯壬戌|水土土火水木水土
己酉丁丑丙寅己亥|土金火土火木土水
戊辰丙辰辛巳癸巳|土土火土金火水火
庚申己丑庚寅丙戌|金金土土金木火土
癸亥乙卯丁丑己酉|水水木木火土土金
己卯癸酉辛亥乙未|土木水金金水木土
乙未戊寅癸卯癸亥|木土土木水木水水
癸巳己未丁亥庚子|水火土土火水金水
甲戌丁丑癸巳丁巳|木土火土水火火火
庚子庚辰辛亥乙未|金水金土金水木土
辛未戊戌丁丑癸卯|金土土土火土水木
己巳丙寅辛亥庚寅|土火火木金水金木
辛巳丙申甲辰甲戌|金火火金木土木土
甲寅癸酉丁未辛亥|木木水金火土金水
丙寅丁酉庚寅癸未|火木火金金木水土
癸亥甲寅庚戌辛巳|水水木木金土金火
壬寅癸丑甲寅戊辰|水木水土木木土土
丁卯庚戌乙丑壬午|火木金土木土水火
癸亥己未癸未丙辰|水水土土水土火土
乙丑乙酉辛丑庚寅|木土木金金土金木
壬寅己酉癸亥丁巳|水木土金水水火火
己酉癸酉庚申戊寅|土金水金金金土木
丁巳己酉庚午丁亥|火火土金金火火水
己酉己巳乙亥戊寅|土金土火木水土木
乙卯壬午甲申辛未|木木水火木金金土
辛丑辛丑戊申癸丑|金土金土土金水土
甲辰丙寅丙子戊子|木土火木火水土水
乙酉己卯戊戌甲寅|木金土木土土木木
癸卯癸亥乙亥丙子|水木水水木水火水
戊辰甲子丙午庚寅|土土木水火火金木
乙卯戊子癸亥乙卯|木木土水水水木木
壬辰己酉己未壬申|水土土金土土水金
己丑戊辰丙戌己丑|土土土土火土土土
甲寅壬申丁丑辛亥|木木水金火土金水
辛亥甲午辛丑丙申|金水木火金土火金
戊寅丙辰癸卯壬戌|土木火土水木水土
癸卯癸亥戊申壬戌|水木水水土金水土
丙寅庚寅庚戌己卯|火木金木金土土木
壬戌癸卯戊午壬戌|水土水木土火水土
戊午乙丑丁未戊申|土火木土火土土金
壬午庚戌癸卯庚申|水火金土水木金金
庚午壬午癸未戊午|金火水火水土土火
丁亥乙巳庚申壬午|火水木火金金水火
戊子甲寅甲戌庚午|土水木木木土金火
甲寅甲戌戊申壬子|木木木土土金水水
乙酉乙酉壬午庚子|木金木金水火金水
辛未戊戌辛巳辛卯|金土土土金火金木
丙寅庚寅庚申壬午|火木金木金金水火
甲子丙子癸亥乙卯|木水火水水水木木
辛酉庚子甲子丙寅|金金金水木水火木
戊戌己未癸卯辛酉|土土土土水木金金
壬申壬子己卯己巳|水金水水土木土火
癸巳丁巳癸巳癸丑|水火火火水火水土
辛丑戊戌乙未癸未|金土土土木土水土
甲子乙亥甲寅癸酉|木水木水木木水金
己巳丁卯辛卯甲午|土火火木金木木火
丙寅丙申辛酉己亥|火木火金金金土水
癸未己未庚午壬午|水土土土金火水火
壬子庚戌乙卯甲申|水水金土木木木金
甲辰乙亥戊戌甲寅|木土木水土土木木
庚戌甲申甲子乙亥|金土木金木水木水
癸酉己未壬寅辛丑|水金土土水木金土
戊子癸亥丁未甲辰|土水水水火土木土
庚戌甲申辛亥戊戌|金土木金金水土土
乙丑乙酉甲戌乙丑|木土木金木土木土
己未己巳戊戌癸亥|土土土火土土水水
乙未己丑乙亥庚辰|木土土土木水金土
己丑己巳壬子丁未|土土土火水水火土
戊寅己未乙卯辛巳|土木土土木木金火
乙酉己丑癸亥辛酉|木金土土水水金金
戊寅丁巳己亥癸酉|土木火火土水水金
辛酉癸巳癸酉壬子|金金水火水金水水
乙酉庚辰癸未癸亥|木金金土水土水水
乙巳己卯甲申庚午|木火土木木金金火
己酉丁丑戊辰戊午|土金火土土土土火
壬申丁未甲辰癸酉|水金火土木土水金
丁亥丙午甲申壬申|火水火火木金水金
己未壬申戊辰癸丑|土土水金土土水土
己卯丙子辛酉丙申|土木火水金金火金
壬寅己酉壬午甲辰|水木土金水火木土
丁丑辛亥壬午癸卯|火土金水水火水木
丙申庚寅己酉甲戌|火金金木土金木土
甲寅丁丑丙戌癸巳|木木火土火土水火
丙戌癸巳庚戌丙子|火土水火金土火水
戊申癸亥乙卯壬午|土金水水木木水火
乙丑癸未丁亥丁未|木土水土火水火土
壬寅癸丑癸亥辛酉|水木水土水水金金
乙巳丁亥庚申甲申|木火火水金金木金
辛丑辛卯壬申庚戌|金土金木水金金土
戊辰戊午庚午壬午|土土土火金火水火
庚午乙酉庚寅辛巳|金火木金金木金火
庚申辛巳戊辰庚申|金金金火土土金金
丙午癸巳丁未辛亥|火火水火火土金水
庚子庚辰壬戌庚子|金水金土水土金水
辛亥甲午辛亥壬辰|金水木火金水水土
丁亥丙午己巳乙亥|火水火火土火木水
己未丙子甲申癸酉|土土火水木金水金
癸巳甲寅辛酉戊子|水火木木金金土水
庚申丁亥庚申丙子|金金火水金金火水
甲辰辛未丙戌戊戌|木土金土火土土土
丙戌辛丑丁亥戊申|火土金土火水土金
乙丑戊子己酉丁卯|木土土水土金火木
乙未戊寅己卯庚午|木土土木土木金火
癸丑己未己卯戊辰|水土土土土木土土
丁丑壬寅癸未癸亥|火土水木水土水水
丙申庚寅乙卯乙酉|火金金木木木木金
辛卯庚子己酉甲戌|金木金水土金木土
戊戌壬戌辛酉乙未|土土水土金金木土
甲子丁卯丙辰己亥|木水火木火土土水
辛卯甲午癸亥辛酉|金木木火水水金金
甲寅辛未辛酉乙未|木木金土金金木土
丁巳庚戌己亥丙寅|火火金土土水火木
乙丑己卯癸卯癸亥|木土土木水木水水
壬寅壬子乙未甲申|水木水水木土木金
乙巳戊寅壬辰辛丑|木火土木水土金土
辛巳辛丑辛卯庚寅|金火金土金木金木
癸丑癸亥乙亥庚辰|水土水水木水金土
甲寅丙寅庚午丙子|木木火木金火火水
庚戌乙酉戊午丁巳|金土木金土火火火
丙辰甲午丁卯壬寅|火土木火火木水木
辛巳丙申乙卯己卯|金火火金木木土木
癸丑壬戌辛亥戊子|水土水土金水土水
乙亥庚辰癸巳乙卯|木水金土水火木木
癸卯丙辰丙午壬辰|水木火土火火水土
戊子丙辰癸亥癸丑|土水火土水水水土
丙辰甲午甲申甲戌|火土木火木金木土
丙戌癸巳庚寅丁丑|火土水火金木火土
丙戌辛卯壬午庚戌|火土金木水火金土
丙子庚寅庚子丙子|火水金木金水火水
乙卯癸未辛卯丙申|木木水土金木火金
己酉丙寅丁亥戊申|土金火木火水土金
丁卯丁未丙午戊戌|火木火土火火土土
乙巳甲申辛未戊戌|木火木金金土土土
己未戊辰戊申甲寅|土土土土土金木木
己巳己巳甲寅乙丑|土火土火木木木土
丁丑戊申丁亥丙午|火土土金火水火火
己亥乙亥癸亥己未|土水木水水水土土
庚辰戊寅己卯癸酉|金土土木土木水金
戊午辛酉丙戌戊戌|土火金金火土土土
丙子辛卯乙未乙酉|火水金木木土木金
甲寅丁丑丁未庚戌|木木火土火土金土
丙申丙申癸未壬子|火金火金水土水水
辛巳丁酉丁酉甲辰|金火火金火金木土
甲辰丙寅癸巳己未|木土火木水火土土
乙卯己卯己未己巳|木木土木土土土火
壬申乙巳癸卯甲寅|水金木火水木木木
壬寅己酉戊寅乙卯|水木土金土木木木
甲辰甲戌己卯戊辰|木土木土土木土土
庚戌戊子癸亥甲寅|金土土水水水木木
丙申己亥甲申壬申|火金土水木金水金
庚子己卯戊辰丁巳|金水土木土土火火
癸未癸亥癸未辛酉|水土水水水土金金
乙丑丙戌戊子庚申|木土火土土水金金
乙酉戊子戊寅戊午|木金土水土木土火
辛丑壬辰丙辰庚寅|金土水土火土金木
己酉癸酉乙巳丙子|土金水金木火火水
丁未丁未丁卯甲辰|火土火土火木木土
丙戌丙申癸酉辛酉|火土火金水金金金
癸未庚申己未丁卯|水土金金土土火木
辛酉癸巳壬申壬寅|金金水火水金水木
庚申癸未丙午己丑|金金水土火火土土
甲辰丙子丙辰癸巳|木土火水火土水火
癸亥己未丙戌庚寅|水水土土火土金木
己酉丙子甲辰乙亥|土金火水木土木水
丙戌戊戌壬戌辛丑|火土土土水土金土
庚寅丁亥己丑乙亥|金木火水土土木水
己酉乙亥庚戌辛巳|土金木水金土金火
丁亥戊申辛酉丙申|火水土金金金火金
辛酉乙未庚子丁亥|金金木土金水火水
丙子乙未癸酉己未|火水木土水金土土
乙巳己卯甲戌乙亥|木火土木木土木水
辛丑己亥丙子辛卯|金土土水火水金木
戊寅庚申乙酉戊寅|土木金金木金土木
癸卯己未丙寅己丑|水木土土火木土土
戊寅戊午庚戌壬午|土木土火金土水火
癸未甲寅己亥甲子|水土木木土水木水
庚子庚辰癸未癸亥|金水金土水土水水
丙辰己亥乙卯戊寅|火土土水木木土木
己酉戊辰丙寅庚寅|土金土土火木金木
丁未戊申庚午丙戌|火土土金金火火土
癸丑丙辰乙巳壬午|水土火土木火水火
戊寅乙卯庚午癸未|土木木木金火水土
甲戌乙亥己亥甲子|木土木水土水木水
戊寅癸亥甲子庚午|土木水水木水金火
壬戌庚戌丁未丙午|水土金土火土火火
丁巳辛亥甲子戊辰|火火金水木水土土
戊子癸亥辛未丙申|土水水水金土火金
戊申癸亥丁卯癸卯|土金水水火木水木
己巳乙亥戊子甲寅|土火木水土水木木
庚戌辛巳乙丑戊寅|金土金火木土土木
甲戌甲戌辛酉壬辰|木土木土金金水土
戊午甲子甲子乙丑|土火木水木水木土
丁卯辛亥戊申癸亥|火木金水土金水水
癸酉壬戌辛巳己丑|水金水土金火土土
乙巳戊子甲子甲戌|木火土水木水木土
丙子丙申丙戌己亥|火水火金火土土水
壬申戊申己酉丁卯|水金土金土金火木
庚午己卯癸丑己未|金火土木水土土土
癸丑丙辰丁酉癸卯|水土火土火金水木
己亥丙子癸巳甲寅|土水火水水火木木
丙戌乙未丙申庚寅|火土木土火金金木
壬申戊申辛亥丁酉|水金土金金水火金
辛未庚子丁丑丙午|金土金水火土火火
庚辰癸未丙辰己亥|金土水土火土土水
辛卯丙申丙申己亥|金木火金火金土水
戊午丁巳戊辰丙辰|土火火火土土火土
甲子戊辰癸卯戊午|木水土土水木土火
庚子庚辰戊寅壬戌|金水金土土木水土
己未丙寅乙亥丙子|土土火木木水火水
庚午辛巳丁卯辛亥|金火金火火木金水
丁巳辛亥庚申乙酉|火火金水金金木金
戊子戊午辛未壬辰|土水土火金土水土
丁卯丁未丙寅庚寅|火木火土火木金木
甲戌壬申辛卯丁酉|木土水金金木火金
丙寅戊戌辛丑戊戌|火木土土金土土土
癸亥己未丙戌戊戌|水水土土火土土土
丙戌癸巳甲午己巳|火土水火木火土火
乙亥壬午丁卯戊申|木水水火火木土金
壬午辛亥乙巳丙戌|水火金水木火火土
乙卯戊寅己丑乙丑|木木土木土土木土
庚寅己卯丙午癸巳|金木土木火火水火
甲寅辛未庚寅丙戌|木木金土金木火土
乙卯壬午丁巳丙午|木木水火火火火火
乙酉戊寅戊寅壬子|木金土木土木水水
乙丑丙戌癸酉己未|木土火土水金土土
乙丑乙酉丁未丁未|木土木金火土火土
甲申乙亥甲辰乙丑|木金木水木土木土
癸卯辛酉己丑壬申|水木金金土土水金
己未癸酉庚申丙戌|土土水金金金火土
丙辰丁酉戊子壬子|火土火金土水水水
丙戌丁酉丁未庚戌|火土火金火土金土
己未辛未甲子乙丑|土土金土木水木土
乙丑戊寅丙申庚寅|木土土木火金金木
戊申乙卯丁巳己酉|土金木木火火土金
癸酉丙辰癸亥庚申|水金火土水水金金
辛卯辛丑癸丑壬子|金木金土水土水水
丁丑己酉丁丑甲辰|火土土金火土木土
丙午庚子戊子壬戌|火火金水土水水土
癸卯戊午庚子丁亥|水木土火金水火水
壬午辛亥癸巳辛酉|水火金水水火金金
丁未乙巳丙午壬辰|火土木火火火水土
己丑己巳乙卯己卯|土土土火木木土木
壬寅壬子丙申甲午|水木水水火金木火
甲辰丙子丁未己酉|木土火水火土土金
戊戌甲寅庚申癸未|土土木木金金水土
戊辰辛酉庚申癸未|土土金金金金水土
己亥戊辰甲戌辛未|土水土土木土金土
己丑丙寅戊戌癸亥|土土火木土土水水
己丑辛未丙寅戊戌|土土金土火木土土
丁丑壬寅癸酉辛酉|火土水木水金金金
甲寅丙子己亥壬申|木木火水土水水金
庚子甲申乙卯丁丑|金水木金木木火土
壬寅庚戌乙巳甲申|水木金土木火木金
癸未甲寅癸酉癸亥|水土木木水金水水
丁未壬子壬申丁未|火土水水水金火土
辛巳庚寅乙巳甲申|金火金木木火木金
癸卯戊午辛亥甲午|水木土火金水木火
戊午甲子壬辰庚子|土火木水水土金水
癸卯己未丙辰庚寅|水木土土火土金木
甲午丁卯丙子戊戌|木火火木火水土土
庚子庚辰庚戌辛巳|金水金土金土金火
庚申戊寅乙卯乙酉|金金土木木木木金
壬申己酉壬子辛亥|水金土金水水金水
庚寅辛巳丁巳癸卯|金木金火火火水木
戊戌乙丑辛未辛卯|土土木土金土金木
壬寅乙巳己酉戊辰|水木木火土金土土
癸未甲子癸亥甲寅|水土木水水水木木
甲午庚午乙卯辛巳|木火金火木木金火
丙午丙申辛亥丁酉|火火火金金水火金
辛酉辛丑癸亥甲寅|金金金土水水木木
癸酉丙辰辛亥癸巳|水金火土金水水火
癸巳乙卯乙亥癸未|水火木木木水水土
戊辰乙丑丙子癸巳|土土木土火水水火
甲子壬申庚戌壬午|木水水金金土水火
庚申丙戌壬子丙午|金金火土水水火火
甲申己巳丁亥癸卯|木金土火火水水木
癸未甲寅乙未癸未|水土木木木土水土
丁卯甲辰甲辰戊辰|火木木土木土土土
壬寅丙午癸丑乙卯|水木火火水土木木
丙寅癸巳丙子庚寅|火木水火火水金木
壬戌庚戌甲子丙寅|水土金土木水火木
甲寅甲戌丙午甲午|木木木土火火木火
壬辰甲辰丁未庚戌|水土木土火土金土
庚申壬午戊辰庚申|金金水火土土金金
戊辰辛酉戊寅壬子|土土金金土木水水
甲子庚午甲申丙寅|木水金火木金火木
乙未己丑癸巳癸丑|木土土土水火水土
辛丑辛丑甲戌庚午|金土金土木土金火
辛亥辛丑己未己巳|金水金土土土土火
己未戊辰癸亥甲寅|土土土土水水木木
乙丑辛巳丙寅己亥|木土金火火木土水
丙辰己亥乙酉庚辰|火土土水木金金土
辛亥丁酉甲申己巳|金水火金木金土火
丁卯丙午乙卯辛巳|火木火火木木金火
甲子壬申辛亥戊戌|木水水金金水土土
丙申癸巳庚子丙子|火金水火金水火水
壬辰丙午乙丑丁亥|水土火火木土火水
壬午癸丑己亥癸酉|水火水土土水水金
戊戌丁巳壬子己酉|土土火火水水土金
乙巳辛巳甲申戊辰|木火金火木金土土
戊寅乙丑壬子壬寅|土木木土水水水木
戊戌辛酉庚寅壬午|土土金金金木水火
丙午丙申乙未丙子|火火火金木土火水
癸巳乙卯丁卯丁未|水火木木火木火土
甲子丁丑辛卯辛卯|木水火土金木金木
己卯庚午甲寅辛未|土木金火木木金土
壬戌癸卯丁亥庚子|水土水木火水金水
丁丑壬子乙巳甲申|火土水水木火木金
丙午甲午丁酉甲辰|火火木火火金木土
癸亥乙丑辛酉己亥|水水木土金金土水
丙戌戊戌辛未庚寅|火土土土金土金木
乙巳乙酉乙卯丙戌|木火木金木木火土
甲戌辛未丙辰甲午|木土金土火土木火
丙子戊戌乙丑壬午|火水土土木土水火
甲子己巳戊申甲寅|木水土火土金木木
己卯丙寅丁亥庚子|土木火木火水金水
癸丑癸亥庚戌乙酉|水土水水金土木金
甲寅甲戌乙卯丙戌|木木木土木木火土
辛未辛丑乙亥壬午|金土金土木水水火
庚戌己丑辛丑庚寅|金土土土金土金木
庚子丙戌丙午戊子|金水火土火火土水
丁卯癸卯辛酉癸巳|火木水木金金水火
庚寅戊寅甲戌己巳|金木土木木土土火
庚戌己卯辛卯己亥|金土土木金木土水
丙午戊戌己巳甲戌|火火土土土火木土
己酉庚午辛卯甲午|土金金火金木木火
辛卯庚寅丙子己亥|金木金木火水土水
戊戌癸亥辛酉丁酉|土土水水金金火金
乙未庚辰甲寅戊辰|木土金土木木土土
庚戌辛巳辛丑丁酉|金土金火金土火金
庚辰癸未甲戌癸酉|金土水土木土水金
乙巳癸未己丑丁卯|木火水土土土火木
庚辰己卯丙辰己丑|金土土木火土土土
乙丑乙酉庚午丁丑|木土木金金火火土
癸亥甲子庚寅庚辰|水水木水金木金土
乙巳戊子丙戌甲午|木火土水火土木火
乙卯丙戌庚寅癸未|木木火土金木水土
辛亥丙申戊申癸亥|金水火金土金水水
辛亥丙申戊寅壬戌|金水火金土木水土
丙午戊戌癸巳癸丑|火火土土水火水土
丙申庚寅己巳癸酉|火金金木土火水金
庚辰癸未丙戌辛卯|金土水土火土金木
庚辰庚辰甲午己巳|金土金土木火土火
戊辰庚申庚辰丙戌|土土金金金土火土
癸卯壬戌癸未戊午|水木水土水土土火
乙酉乙酉辛亥甲午|木金木金金水木火
癸亥甲子癸丑壬子|水水木水水土水水
丙辰庚寅乙未庚辰|火土金木木土金土
己酉乙亥己卯乙丑|土金木水土木木土
辛亥丁酉丁酉乙巳|金水火金火金木火
癸卯己未己酉壬申|水木土土土金水金
癸巳丙辰壬辰乙巳|水火火土水土木火
丙辰庚寅壬午癸卯|火土金木水火水木
丙午庚子乙亥戊寅|火火金水木水土木
丙子甲午丙申甲午|火水木火火金木火
癸丑己未戊子甲寅|水土土土土水木木
戊戌癸亥丙寅辛卯|土土水水火木金木
甲戌丙子丁亥壬寅|木土火水火水水木
癸巳丙辰乙丑庚辰|水火火土木土金土
辛未丁酉戊戌己未|金土火金土土土土
乙丑甲申辛亥庚寅|木土木金金水金木
辛亥丙申乙丑丁丑|金水火金木土火土
甲寅丁卯丙戌庚寅|木木火木火土金木
丁未戊申丙寅丙申|火土土金火木火金
戊子己未戊辰丙辰|土水土土土土火土
壬戌丁未癸丑癸丑|水土火土水土水土
辛卯丙申丙辰戊子|金木火金火土土水
癸酉己未己酉丙寅|水金土土土金火木
乙巳乙酉壬申己酉|木火木金水金土金
丁未癸丑庚子己卯|火土水土金水土木
辛未甲午戊戌乙卯|金土木火土土木木
乙巳甲申丁巳己酉|木火木金火火土金
丁酉乙巳庚申己卯|火金木火金金土木
己酉乙亥甲戌丙寅|土金木水木土火木
丙午庚子乙亥丁亥|火火金水木水火水
庚子丙戌丙戌戊戌|金水火土火土土土
己亥癸酉丁丑辛丑|土水水金火土金土
戊申甲寅甲辰壬申|土金木木木土水金
戊寅甲寅癸酉壬戌|土木木木水金水土
癸卯丙辰壬戌己酉|水木火土水土土金
壬戌癸卯甲戌乙亥|水土水木木土木水
己卯戊辰庚辰丁亥|土木土土金土火水
戊子丁巳庚戌癸未|土水火火金土水土
壬子壬寅庚子丙子|水水水木金水火水
丁丑辛亥壬寅癸卯|火土金水水木水木
戊戌甲寅乙酉己卯|土土木木木金土木
庚申癸未庚辰丁亥|金金水土金土火水
己亥丁丑丁卯甲辰|土水火土火木木土
丙寅庚寅乙卯甲申|火木金木木木木金
丙申戊戌甲寅甲戌|火金土土木木木土
乙未丁亥壬子庚戌|木土火水水水金土
己亥己巳壬戌丁未|土水土火水土火土
丁未乙巳壬子甲辰|火土木火水水木土
丁酉辛亥辛酉乙未|火金金水金金木土
丁亥甲辰己卯甲戌|火水木土土木木土
辛巳癸巳辛未丙申|金火水火金土火金
戊申丁巳戊戌甲寅|土金火火土土木木
戊辰辛酉己酉甲戌|土土金金土金木土
戊寅辛酉丙午戊子|土木金金火火土水
甲子辛未丙辰丁酉|木水金土火土火金
庚申乙酉乙未丁亥|金金木金木土火水
丙寅丁酉癸酉壬子|火木火金水金水水
甲戌辛未乙未丁亥|木土金土木土火水
甲辰癸酉甲寅丁卯|木土水金木木火木
丁巳庚戌甲寅乙亥|火火金土木木木水
甲子庚午己未乙丑|木水金火土土木土
庚寅庚辰癸酉甲寅|金木金土水金木木
庚戌己丑庚申戊寅|金土土土金金土木
甲寅庚午丙申戊子|木木金火火金土水
丁巳己酉丁卯庚子|火火土金火木金水
辛亥丁酉丁酉戊申|金水火金火金土金
庚子壬午庚申戊寅|金水水火金金土木
壬申己酉壬申庚戌|水金土金水金金土
戊辰乙卯戊戌丁巳|土土木木土土火火
辛亥甲午丁巳辛丑|金水木火火火金土
戊申癸亥丁酉丁未|土金水水火金火土
乙未丁亥丙辰己亥|木土火水火土土水
丁丑甲辰丙申己丑|火土木土火金土土
丙戌己亥庚申乙酉|火土土水金金木金
己卯戊辰壬子丙午|土木土土水水火火
甲戌癸酉丙寅甲午|木土水金火木木火
辛亥辛卯乙丑庚辰|金水金木木土金土
癸亥辛酉己酉己巳|水水金金土金土火
戊辰甲寅甲辰癸酉|土土木木木土水金
己卯庚午壬辰辛亥|土木金火水土金水
庚子壬午戊子癸亥|金水水火土水水水
乙卯乙酉辛亥戊子|木木木金金水土水
辛亥己亥戊寅庚申|金水土水土木金金
戊子丙辰丁亥己酉|土水火土火水土金
丁卯壬寅丁巳丁未|火木水木火火火土
壬午乙巳甲申乙亥|水火木火木金木水
丙午乙未己酉壬申|火火木土土金水金
戊辰癸亥壬辰戊申|土土水水水土土金
戊寅庚申丁巳丙午|土木金金火火火火
戊戌己未丙寅辛卯|土土土土火木金木
甲寅丙寅乙卯己卯|木木火木木木土木
丁丑壬子丁丑己酉|火土水水火土土金
壬申己酉壬寅庚戌|水金土金水木金土
癸未壬戌乙丑丁丑|水土水土木土火土
乙巳丙戌乙未戊寅|木火火土木土土木
甲寅癸酉癸酉丁巳|木木水金水金火火
戊午丙辰乙酉庚辰|土火火土木金金土
乙卯己卯己亥戊辰|木木土木土水土土
己巳丙寅壬寅壬寅|土火火木水木水木
戊寅甲寅庚戌戊寅|土木木木金土土木
丁卯庚戌癸亥癸丑|火木金土水水水土
戊申乙丑己卯丙寅|土金木土土木火木
戊寅丙辰庚寅辛巳|土木火土金木金火
癸酉庚申己巳乙亥|水金金金土火木水
戊寅甲寅乙酉庚辰|土木木木木金金土
辛未壬辰庚午丙戌|金土水土金火火土
戊戌己未壬辰庚戌|土土土土水土金土
庚寅辛巳辛丑戊戌|金木金火金土土土
丁酉壬寅己未丙寅|火金水木土土火木
乙卯庚辰壬戌丙午|木木金土水土火火
壬子己酉壬戌戊申|水水土金水土土金
癸未己未壬寅己酉|水土土土水木土金
甲寅戊辰丙辰己亥|木木土土火土土水
辛未丁酉癸酉己未|金土火金水金土土
庚午丙戌己巳癸酉|金火火土土火水金
丙午乙未壬辰乙巳|火火木土水土木火
丙午丙申乙巳庚辰|火火火金木火金土
丁丑戊申壬午乙巳|火土土金水火木火
辛卯庚子壬辰辛亥|金木金水水土金水
己酉壬申戊申壬戌|土金水金土金水土
丁巳癸卯癸卯壬子|火火水木水木水水
乙巳庚辰戊辰丁巳|木火金土土土火火
乙卯乙酉庚申丙子|木木木金金金火水
甲寅戊辰壬午戊申|木木土土水火土金
辛未己亥丙申戊子|金土土水火金土水
壬寅辛亥癸卯己未|水木金水水木土土
甲戌己巳辛亥丙申|木土土火金水火金
甲午庚午壬戌丙午|木火金火水土火火
癸丑乙丑丙子甲午|水土木土火水木火
癸亥戊午癸酉辛酉|水水土火水金金金
丙戌戊戌己亥辛未|火土土土土水金土
丙午庚子乙未丁丑|火火金水木土火土
丁酉辛亥乙丑丁亥|火金金水木土火水
乙未己卯丁卯己酉|木土土木火木土金
己酉丙寅丁酉癸卯|土金火木火金水木
癸亥庚申己亥甲子|水水金金土水木水
丁酉庚戌辛未癸巳|火金金土金土水火
丁巳壬寅丙辰己丑|火火水木火土土土
癸酉辛酉壬子丁未|水金金金水水火土
辛酉甲午甲午乙丑|金金木火木火木土
癸卯乙丑壬辰戊申|水木木土水土土金
癸巳戊午戊申甲寅|水火土火土金木木
辛丑庚子丙戌戊子|金土金水火土土水
癸卯甲寅癸未己未|水木木木水土土土
辛未甲午丙午丁酉|金土木火火火火金
戊子辛酉庚申甲申|土水金金金金木金
戊午癸亥甲子己巳|土火水水木水土火
庚申庚辰乙酉丁丑|金金金土木金火土
癸巳乙丑癸卯壬子|水火木土水木水水
丙子辛卯辛酉癸巳|火水金木金金水火
